Time,Day,Hour,K_Value
2023-01-04 09:10,Wednesday,9,1
2023-01-04 09:50,Wednesday,9,1
2023-01-04 10:30,Wednesday,10,1
2023-01-04 11:10,Wednesday,11,1
2023-01-04 11:50,Wednesday,11,1
2023-01-04 12:50,Wednesday,12,1
2023-01-04 13:40,Wednesday,13,1
2023-01-04 14:40,Wednesday,14,1
2023-01-04 15:50,Wednesday,15,1
2023-01-04 17:20,Wednesday,17,1
2023-01-04 19:50,Wednesday,19,1
2023-01-04 22:30,Wednesday,22,1
2023-01-05 02:50,Thursday,2,1
2023-01-05 05:10,Thursday,5,1
2023-01-05 06:40,Thursday,6,1
2023-01-05 07:20,Thursday,7,1
2023-01-05 07:50,Thursday,7,1
2023-01-05 08:20,Thursday,8,1
2023-01-05 08:50,Thursday,8,1
2023-01-05 09:20,Thursday,9,1
2023-01-05 09:50,Thursday,9,1
2023-01-05 10:20,Thursday,10,1
2023-01-05 10:50,Thursday,10,1
2023-01-05 11:20,Thursday,11,1
2023-01-05 11:50,Thursday,11,1
2023-01-05 12:20,Thursday,12,1
2023-01-05 12:50,Thursday,12,1
2023-01-05 13:20,Thursday,13,1
2023-01-05 13:50,Thursday,13,1
2023-01-05 14:20,Thursday,14,1
2023-01-05 14:50,Thursday,14,1
2023-01-05 15:20,Thursday,15,1
2023-01-05 15:50,Thursday,15,1
2023-01-05 16:20,Thursday,16,1
2023-01-05 16:50,Thursday,16,1
2023-01-05 17:20,Thursday,17,1
2023-01-05 17:50,Thursday,17,1
2023-01-05 18:20,Thursday,18,1
2023-01-05 18:50,Thursday,18,1
2023-01-05 19:20,Thursday,19,1
2023-01-05 19:50,Thursday,19,1
2023-01-05 20:20,Thursday,20,1
2023-01-05 20:50,Thursday,20,1
2023-01-05 21:20,Thursday,21,1
2023-01-05 21:50,Thursday,21,1
2023-01-05 22:20,Thursday,22,1
2023-01-05 22:50,Thursday,22,1
2023-01-05 23:20,Thursday,23,1
2023-01-05 23:50,Thursday,23,1
2023-01-06 00:20,Friday,0,1
2023-01-06 00:50,Friday,0,1
2023-01-06 01:20,Friday,1,1
2023-01-06 01:50,Friday,1,1
2023-01-06 02:20,Friday,2,1
2023-01-06 02:50,Friday,2,1
2023-01-06 03:20,Friday,3,1
2023-01-06 03:50,Friday,3,1
2023-01-06 04:20,Friday,4,1
2023-01-06 04:50,Friday,4,1
2023-01-06 05:20,Friday,5,1
2023-01-06 05:50,Friday,5,1
2023-01-06 06:20,Friday,6,1
2023-01-06 06:50,Friday,6,1
2023-01-06 07:20,Friday,7,1
2023-01-06 07:50,Friday,7,1
2023-01-06 08:20,Friday,8,1
2023-01-06 08:50,Friday,8,1
2023-01-06 09:20,Friday,9,1
2023-01-06 09:50,Friday,9,1
2023-01-06 10:20,Friday,10,1
2023-01-06 10:50,Friday,10,1
2023-01-06 11:20,Friday,11,1
2023-01-06 11:50,Friday,11,1
2023-01-06 12:20,Friday,12,1
2023-01-06 12:50,Friday,12,1
2023-01-06 13:20,Friday,13,1
2023-01-06 13:50,Friday,13,1
2023-01-06 14:20,Friday,14,1
2023-01-06 14:50,Friday,14,1
2023-01-06 15:20,Friday,15,1
2023-01-06 15:50,Friday,15,1
2023-01-06 16:20,Friday,16,1
2023-01-06 16:50,Friday,16,1
2023-01-06 17:20,Friday,17,1
2023-01-06 17:50,Friday,17,1
2023-01-06 18:20,Friday,18,1
2023-01-06 18:50,Friday,18,1
2023-01-06 19:20,Friday,19,1
2023-01-06 19:50,Friday,19,1
2023-01-06 20:20,Friday,20,1
2023-01-06 20:50,Friday,20,1
2023-01-06 21:20,Friday,21,1
2023-01-06 21:50,Friday,21,1
2023-01-06 22:20,Friday,22,1
2023-01-06 22:50,Friday,22,1
2023-01-06 23:20,Friday,23,1
2023-01-06 23:50,Friday,23,1
2023-01-07 00:20,Saturday,0,1
2023-01-07 00:50,Saturday,0,1
2023-01-07 01:20,Saturday,1,1
2023-01-07 01:50,Saturday,1,1
2023-01-07 02:20,Saturday,2,1
2023-01-07 02:50,Saturday,2,1
2023-01-07 03:20,Saturday,3,1
2023-01-07 03:50,Saturday,3,1
2023-01-07 04:20,Saturday,4,1
2023-01-07 04:50,Saturday,4,1
2023-01-07 05:20,Saturday,5,1
2023-01-07 05:50,Saturday,5,1
2023-01-07 06:20,Saturday,6,1
2023-01-07 06:50,Saturday,6,1
2023-01-07 07:20,Saturday,7,1
2023-01-07 07:50,Saturday,7,1
2023-01-07 08:20,Saturday,8,1
2023-01-07 08:50,Saturday,8,1
2023-01-07 09:20,Saturday,9,1
2023-01-07 09:50,Saturday,9,1
2023-01-07 10:20,Saturday,10,1
2023-01-07 10:50,Saturday,10,1
2023-01-07 11:20,Saturday,11,1
2023-01-07 11:50,Saturday,11,1
2023-01-07 12:20,Saturday,12,1
2023-01-07 12:50,Saturday,12,1
2023-01-07 13:20,Saturday,13,1
2023-01-07 13:50,Saturday,13,1
2023-01-07 14:20,Saturday,14,1
2023-01-07 14:50,Saturday,14,1
2023-01-07 15:20,Saturday,15,1
2023-01-07 15:50,Saturday,15,1
2023-01-07 16:20,Saturday,16,1
2023-01-07 16:50,Saturday,16,1
2023-01-07 17:20,Saturday,17,1
2023-01-07 17:50,Saturday,17,1
2023-01-07 18:20,Saturday,18,1
2023-01-07 18:50,Saturday,18,1
2023-01-07 19:20,Saturday,19,1
2023-01-07 19:50,Saturday,19,1
2023-01-07 20:20,Saturday,20,1
2023-01-07 20:50,Saturday,20,1
2023-01-07 21:20,Saturday,21,1
2023-01-07 21:50,Saturday,21,1
2023-01-07 22:20,Saturday,22,1
2023-01-07 22:50,Saturday,22,1
2023-01-07 23:20,Saturday,23,1
2023-01-07 23:50,Saturday,23,1
2023-01-08 00:20,Sunday,0,1
2023-01-08 00:50,Sunday,0,1
2023-01-08 01:20,Sunday,1,1
2023-01-08 01:50,Sunday,1,1
2023-01-08 02:20,Sunday,2,1
2023-01-08 02:50,Sunday,2,1
2023-01-08 03:20,Sunday,3,1
2023-01-08 03:50,Sunday,3,1
2023-01-08 04:20,Sunday,4,1
2023-01-08 04:50,Sunday,4,1
2023-01-08 05:20,Sunday,5,1
2023-01-08 05:50,Sunday,5,1
2023-01-08 06:20,Sunday,6,1
2023-01-08 06:50,Sunday,6,1
2023-01-08 07:20,Sunday,7,1
2023-01-08 07:50,Sunday,7,1
2023-01-08 08:20,Sunday,8,1
2023-01-08 08:50,Sunday,8,1
2023-01-08 09:20,Sunday,9,1
2023-01-08 09:50,Sunday,9,1
2023-01-08 10:20,Sunday,10,1
2023-01-08 10:50,Sunday,10,1
2023-01-08 11:20,Sunday,11,1
2023-01-08 11:50,Sunday,11,1
2023-01-08 12:20,Sunday,12,1
2023-01-08 12:50,Sunday,12,1
2023-01-08 13:20,Sunday,13,1
2023-01-08 13:50,Sunday,13,1
2023-01-08 14:20,Sunday,14,1
2023-01-08 14:50,Sunday,14,1
2023-01-08 15:20,Sunday,15,1
2023-01-08 15:50,Sunday,15,1
2023-01-08 16:20,Sunday,16,1
2023-01-08 16:50,Sunday,16,1
2023-01-08 17:20,Sunday,17,1
2023-01-08 17:50,Sunday,17,1
2023-01-08 18:20,Sunday,18,1
2023-01-08 18:50,Sunday,18,1
2023-01-08 19:20,Sunday,19,1
2023-01-08 19:50,Sunday,19,1
2023-01-08 20:20,Sunday,20,1
2023-01-08 20:50,Sunday,20,1
2023-01-08 21:20,Sunday,21,1
2023-01-08 21:50,Sunday,21,1
2023-01-08 22:20,Sunday,22,1
2023-01-08 22:50,Sunday,22,1
2023-01-08 23:20,Sunday,23,1
2023-01-08 23:50,Sunday,23,1
