Time,Day,Hour,K_Value
2023-01-06 07:30,Friday,7,1
2023-01-06 08:00,Friday,8,1
2023-01-06 08:30,Friday,8,1
2023-01-06 09:00,Friday,9,1
2023-01-06 09:30,Friday,9,1
2023-01-06 10:00,Friday,10,1
2023-01-06 10:30,Friday,10,1
2023-01-06 11:00,Friday,11,1
2023-01-06 11:30,Friday,11,1
2023-01-06 12:00,Friday,12,1
2023-01-06 12:30,Friday,12,1
2023-01-06 13:00,Friday,13,1
2023-01-06 13:30,Friday,13,1
2023-01-06 14:00,Friday,14,1
2023-01-06 14:30,Friday,14,1
2023-01-06 15:00,Friday,15,1
2023-01-06 15:30,Friday,15,1
2023-01-06 16:00,Friday,16,1
2023-01-06 16:30,Friday,16,1
2023-01-06 17:00,Friday,17,1
2023-01-06 17:30,Friday,17,1
2023-01-06 18:00,Friday,18,1
2023-01-06 18:30,Friday,18,1
2023-01-06 19:00,Friday,19,1
2023-01-06 19:30,Friday,19,1
2023-01-06 20:00,Friday,20,1
2023-01-06 20:30,Friday,20,1
2023-01-06 21:00,Friday,21,1
2023-01-06 21:30,Friday,21,1
2023-01-06 22:00,Friday,22,1
2023-01-06 22:30,Friday,22,1
2023-01-06 23:00,Friday,23,1
2023-01-06 23:30,Friday,23,1
2023-01-07 00:00,Saturday,0,1
2023-01-07 00:30,Saturday,0,1
2023-01-07 01:00,Saturday,1,1
2023-01-07 01:30,Saturday,1,1
2023-01-07 02:00,Saturday,2,1
2023-01-07 02:30,Saturday,2,1
2023-01-07 03:00,Saturday,3,1
2023-01-07 03:30,Saturday,3,1
2023-01-07 04:00,Saturday,4,1
2023-01-07 04:30,Saturday,4,1
2023-01-07 05:00,Saturday,5,1
2023-01-07 05:30,Saturday,5,1
2023-01-07 06:00,Saturday,6,1
2023-01-07 06:30,Saturday,6,1
2023-01-07 07:00,Saturday,7,1
2023-01-07 07:30,Saturday,7,1
2023-01-07 08:00,Saturday,8,1
2023-01-07 08:30,Saturday,8,1
2023-01-07 09:00,Saturday,9,1
2023-01-07 09:30,Saturday,9,1
2023-01-07 10:00,Saturday,10,1
2023-01-07 10:30,Saturday,10,1
2023-01-07 11:00,Saturday,11,1
2023-01-07 11:30,Saturday,11,1
2023-01-07 12:00,Saturday,12,1
2023-01-07 12:30,Saturday,12,1
2023-01-07 13:00,Saturday,13,1
2023-01-07 13:30,Saturday,13,1
2023-01-07 14:00,Saturday,14,1
2023-01-07 14:30,Saturday,14,1
2023-01-07 15:00,Saturday,15,1
2023-01-07 15:30,Saturday,15,1
2023-01-07 16:00,Saturday,16,1
2023-01-07 16:30,Saturday,16,1
2023-01-07 17:00,Saturday,17,1
2023-01-07 17:30,Saturday,17,1
2023-01-07 18:00,Saturday,18,1
2023-01-07 18:30,Saturday,18,1
2023-01-07 19:00,Saturday,19,1
2023-01-07 19:30,Saturday,19,1
2023-01-07 20:00,Saturday,20,1
2023-01-07 20:30,Saturday,20,1
2023-01-07 21:00,Saturday,21,1
2023-01-07 21:30,Saturday,21,1
2023-01-07 22:00,Saturday,22,1
2023-01-07 22:30,Saturday,22,1
2023-01-07 23:00,Saturday,23,1
2023-01-07 23:30,Saturday,23,1
2023-01-08 00:00,Sunday,0,1
2023-01-08 00:30,Sunday,0,1
2023-01-08 01:00,Sunday,1,1
2023-01-08 01:30,Sunday,1,1
2023-01-08 02:00,Sunday,2,1
2023-01-08 02:30,Sunday,2,1
2023-01-08 03:00,Sunday,3,1
2023-01-08 03:30,Sunday,3,1
2023-01-08 04:00,Sunday,4,1
2023-01-08 04:30,Sunday,4,1
2023-01-08 05:00,Sunday,5,1
2023-01-08 05:30,Sunday,5,1
2023-01-08 06:00,Sunday,6,1
2023-01-08 06:30,Sunday,6,1
2023-01-08 07:00,Sunday,7,1
2023-01-08 07:30,Sunday,7,1
2023-01-08 08:00,Sunday,8,1
2023-01-08 08:30,Sunday,8,1
2023-01-08 09:00,Sunday,9,1
2023-01-08 09:30,Sunday,9,1
2023-01-08 10:00,Sunday,10,1
2023-01-08 10:30,Sunday,10,1
2023-01-08 11:00,Sunday,11,1
2023-01-08 11:30,Sunday,11,1
2023-01-08 12:00,Sunday,12,1
2023-01-08 12:30,Sunday,12,1
2023-01-08 13:00,Sunday,13,1
2023-01-08 13:30,Sunday,13,1
2023-01-08 14:00,Sunday,14,1
2023-01-08 14:30,Sunday,14,1
2023-01-08 15:00,Sunday,15,1
2023-01-08 15:30,Sunday,15,1
2023-01-08 16:00,Sunday,16,1
2023-01-08 16:30,Sunday,16,1
2023-01-08 17:00,Sunday,17,1
2023-01-08 17:30,Sunday,17,1
2023-01-08 18:00,Sunday,18,1
2023-01-08 18:30,Sunday,18,1
2023-01-08 19:00,Sunday,19,1
2023-01-08 19:30,Sunday,19,1
2023-01-08 20:00,Sunday,20,1
2023-01-08 20:30,Sunday,20,1
2023-01-08 21:00,Sunday,21,1
2023-01-08 21:30,Sunday,21,1
2023-01-08 22:00,Sunday,22,1
2023-01-08 22:30,Sunday,22,1
2023-01-08 23:00,Sunday,23,1
2023-01-08 23:30,Sunday,23,1
