time_step,K_value,pre_std,post_std,delivered_total,total_loss,num_plans,energy_avg,energy_std
4680,1,0.0,0.0,0.0,0.0,0,40687.54826332611,0.0
4740,1,0.0,0.0,0.0,0.0,0,40691.51757458062,0.0
4800,1,0.0,0.0,0.0,0.0,0,40703.02559681911,0.0
4860,1,0.0,0.0,0.0,0.0,0,40721.288077343976,0.0
4920,1,0.0,0.0,0.0,0.0,0,40745.0604582876,0.0
4980,1,0.0,0.0,0.0,0.0,0,40772.72269117439,0.0
5040,1,0.0,0.0,0.0,0.0,0,40802.38964054713,0.0
5100,1,0.0,0.0,0.0,0.0,0,40832.03955283301,0.0
5160,1,0.0,0.0,0.0,0.0,0,40859.65183550856,0.0
5220,1,0.0,0.0,0.0,0.0,0,40883.34475714088,0.0
5280,1,7.275957614183426e-12,7.275957614183426e-12,0.0,0.0,0,40901.50368427516,7.275957614183426e-12
5340,1,0.0,0.0,0.0,0.0,0,40912.8911160362,0.0
5400,1,0.0,0.0,0.0,0.0,0,40916.73101776815,0.0
5460,1,0.0,0.0,0.0,0.0,0,40916.73101776815,0.0
5520,1,0.0,0.0,0.0,0.0,0,40916.73101776815,0.0
5580,1,0.0,0.0,0.0,0.0,0,40916.73101776815,0.0
5640,1,0.0,0.0,0.0,0.0,0,40916.73101776815,0.0
5700,1,0.0,0.0,0.0,0.0,0,40916.73101776815,0.0
5760,1,0.0,0.0,0.0,0.0,0,40916.73101776815,0.0
5820,1,0.0,0.0,0.0,0.0,0,40916.73101776815,0.0
5880,1,0.0,0.0,0.0,0.0,0,40916.73101776815,0.0
5940,1,0.0,0.0,0.0,0.0,0,40916.73101776815,0.0
6000,1,0.0,0.0,0.0,0.0,0,40916.73101776815,0.0
6060,1,0.0,0.0,0.0,0.0,0,40916.73101776815,0.0
6120,1,0.0,0.0,0.0,0.0,0,40916.73101776815,0.0
6180,1,0.0,0.0,0.0,0.0,0,40920.70032902266,0.0
6240,1,7.275957614183426e-12,7.275957614183426e-12,0.0,0.0,0,40932.20835126114,7.275957614183426e-12
6300,1,0.0,0.0,0.0,0.0,0,40950.47083178601,0.0
6360,1,0.0,0.0,0.0,0.0,0,40974.243212729634,0.0
6420,1,0.0,0.0,0.0,0.0,0,41001.90544561643,0.0
6480,1,0.0,0.0,0.0,0.0,0,41031.57239498917,0.0
6540,1,0.0,0.0,0.0,0.0,0,41061.22230727505,0.0
6600,1,0.0,0.0,0.0,0.0,0,41088.834589950595,0.0
6660,1,0.0,0.0,0.0,0.0,0,41112.52751158292,0.0
6720,1,0.0,0.0,0.0,0.0,0,41130.68643871719,0.0
6780,1,0.0,0.0,0.0,0.0,0,41142.073870478234,0.0
6840,1,0.0,0.0,0.0,0.0,0,41145.91377221019,0.0
6900,1,0.0,0.0,0.0,0.0,0,41145.91377221019,0.0
6960,1,0.0,0.0,0.0,0.0,0,41145.91377221019,0.0
7020,1,0.0,0.0,0.0,0.0,0,41145.91377221019,0.0
7080,1,0.0,0.0,0.0,0.0,0,41145.91377221019,0.0
7140,1,0.0,0.0,0.0,0.0,0,41145.91377221019,0.0
7200,1,0.0,0.0,0.0,0.0,0,41145.91377221019,0.0
7260,1,0.0,0.0,0.0,0.0,0,41145.91377221019,0.0
