Time,Day,Hour,K_Value
2023-01-05 05:30,Thursday,5,1
2023-01-05 06:32,Thursday,6,1
2023-01-05 07:12,Thursday,7,1
2023-01-05 07:46,Thursday,7,1
2023-01-05 08:16,Thursday,8,1
2023-01-05 08:46,Thursday,8,1
2023-01-05 09:16,Thursday,9,1
2023-01-05 09:46,Thursday,9,1
2023-01-05 10:16,Thursday,10,1
2023-01-05 10:46,Thursday,10,1
2023-01-05 11:16,Thursday,11,1
2023-01-05 11:46,Thursday,11,1
2023-01-05 12:16,Thursday,12,1
2023-01-05 12:46,Thursday,12,1
2023-01-05 13:16,Thursday,13,1
2023-01-05 13:46,Thursday,13,1
2023-01-05 14:16,Thursday,14,1
2023-01-05 14:46,Thursday,14,1
2023-01-05 15:16,Thursday,15,1
2023-01-05 15:46,Thursday,15,1
2023-01-05 16:16,Thursday,16,1
2023-01-05 16:46,Thursday,16,1
2023-01-05 17:16,Thursday,17,1
2023-01-05 17:46,Thursday,17,1
2023-01-05 18:16,Thursday,18,1
2023-01-05 18:46,Thursday,18,1
2023-01-05 19:16,Thursday,19,1
2023-01-05 19:46,Thursday,19,1
2023-01-05 20:16,Thursday,20,1
2023-01-05 20:46,Thursday,20,1
2023-01-05 21:16,Thursday,21,1
2023-01-05 21:46,Thursday,21,1
2023-01-05 22:16,Thursday,22,1
2023-01-05 22:46,Thursday,22,1
2023-01-05 23:16,Thursday,23,1
2023-01-05 23:46,Thursday,23,1
2023-01-06 00:16,Friday,0,1
2023-01-06 00:46,Friday,0,1
2023-01-06 01:16,Friday,1,1
2023-01-06 01:46,Friday,1,1
2023-01-06 02:16,Friday,2,1
2023-01-06 02:46,Friday,2,1
2023-01-06 03:16,Friday,3,1
2023-01-06 03:46,Friday,3,1
2023-01-06 04:16,Friday,4,1
2023-01-06 04:46,Friday,4,1
2023-01-06 05:16,Friday,5,1
2023-01-06 05:46,Friday,5,1
2023-01-06 06:16,Friday,6,1
2023-01-06 06:46,Friday,6,1
2023-01-06 07:16,Friday,7,1
2023-01-06 07:46,Friday,7,1
2023-01-06 08:16,Friday,8,1
2023-01-06 10:35,Friday,10,1
2023-01-06 11:05,Friday,11,1
2023-01-06 11:35,Friday,11,1
2023-01-06 12:05,Friday,12,1
2023-01-06 12:35,Friday,12,1
2023-01-06 13:05,Friday,13,1
2023-01-06 13:35,Friday,13,1
2023-01-06 14:05,Friday,14,1
2023-01-06 14:35,Friday,14,1
