Time,Day,Hour,K_Value
2023-01-03 10:25,Tuesday,10,1
2023-01-03 10:52,Tuesday,10,1
2023-01-03 11:34,Tuesday,11,1
2023-01-03 12:21,Tuesday,12,1
2023-01-03 13:09,Tuesday,13,1
2023-01-03 14:02,Tuesday,14,1
2023-01-03 15:05,Tuesday,15,1
2023-01-03 16:21,Tuesday,16,1
2023-01-03 19:34,Tuesday,19,1
2023-01-04 00:13,Wednesday,0,1
2023-01-04 05:25,Wednesday,5,1
2023-01-04 07:13,Wednesday,7,1
2023-01-04 07:53,Wednesday,7,1
2023-01-04 08:27,Wednesday,8,1
2023-01-04 08:50,Wednesday,8,1
2023-01-04 09:34,Wednesday,9,1
2023-01-04 09:52,Wednesday,9,1
2023-01-04 10:16,Wednesday,10,1
2023-01-04 10:45,Wednesday,10,1
2023-01-04 11:13,Wednesday,11,1
2023-01-04 11:43,Wednesday,11,1
2023-01-04 12:34,Wednesday,12,1
2023-01-04 13:21,Wednesday,13,1
2023-01-04 13:55,Wednesday,13,1
2023-01-04 14:21,Wednesday,14,1
2023-01-04 15:01,Wednesday,15,1
2023-01-04 15:46,Wednesday,15,1
2023-01-04 16:43,Wednesday,16,1
2023-01-04 17:20,Wednesday,17,1
2023-01-04 21:55,Wednesday,21,1
2023-01-05 02:36,Thursday,2,1
2023-01-05 04:52,Thursday,4,1
2023-01-05 07:33,Thursday,7,1
2023-01-05 08:13,Thursday,8,1
2023-01-05 09:07,Thursday,9,1
2023-01-05 09:31,Thursday,9,1
2023-01-05 10:09,Thursday,10,1
2023-01-05 10:39,Thursday,10,1
2023-01-05 10:57,Thursday,10,1
2023-01-05 11:23,Thursday,11,1
2023-01-05 11:51,Thursday,11,1
2023-01-05 12:05,Thursday,12,1
2023-01-05 12:41,Thursday,12,1
2023-01-05 12:49,Thursday,12,1
2023-01-05 13:25,Thursday,13,1
2023-01-05 13:34,Thursday,13,1
2023-01-05 14:28,Thursday,14,1
2023-01-05 14:51,Thursday,14,1
2023-01-05 15:13,Thursday,15,1
2023-01-05 16:09,Thursday,16,1
2023-01-05 16:49,Thursday,16,1
2023-01-05 17:44,Thursday,17,1
2023-01-05 21:07,Thursday,21,1
2023-01-06 02:10,Friday,2,1
2023-01-06 04:48,Friday,4,1
2023-01-06 06:51,Friday,6,1
2023-01-06 08:35,Friday,8,1
2023-01-06 08:38,Friday,8,1
2023-01-06 08:51,Friday,8,1
2023-01-06 09:54,Friday,9,1
2023-01-06 09:58,Friday,9,1
2023-01-06 10:49,Friday,10,1
2023-01-06 10:54,Friday,10,1
2023-01-06 10:55,Friday,10,1
2023-01-06 11:28,Friday,11,1
2023-01-06 11:47,Friday,11,1
2023-01-06 11:48,Friday,11,1
2023-01-06 12:23,Friday,12,1
2023-01-06 12:36,Friday,12,1
2023-01-06 13:26,Friday,13,1
2023-01-06 13:29,Friday,13,1
2023-01-06 14:03,Friday,14,1
2023-01-06 14:09,Friday,14,1
2023-01-06 14:41,Friday,14,1
2023-01-06 15:58,Friday,15,1
2023-01-06 17:38,Friday,17,1
2023-01-06 18:30,Friday,18,1
2023-01-06 22:24,Friday,22,1
2023-01-07 02:34,Saturday,2,1
2023-01-07 03:20,Saturday,3,1
2023-01-07 07:28,Saturday,7,1
2023-01-07 08:51,Saturday,8,1
2023-01-07 09:09,Saturday,9,1
2023-01-07 09:30,Saturday,9,1
2023-01-07 09:33,Saturday,9,1
2023-01-07 10:33,Saturday,10,1
2023-01-07 10:34,Saturday,10,1
2023-01-07 11:25,Saturday,11,1
2023-01-07 11:40,Saturday,11,1
2023-01-07 11:54,Saturday,11,1
2023-01-07 12:58,Saturday,12,1
2023-01-07 13:17,Saturday,13,1
2023-01-07 13:30,Saturday,13,1
2023-01-07 13:58,Saturday,13,1
2023-01-07 14:31,Saturday,14,1
2023-01-07 15:44,Saturday,15,1
2023-01-07 15:51,Saturday,15,1
2023-01-07 16:09,Saturday,16,1
2023-01-07 16:51,Saturday,16,1
2023-01-07 17:30,Saturday,17,1
2023-01-07 21:44,Saturday,21,1
2023-01-08 02:37,Sunday,2,1
2023-01-08 06:40,Sunday,6,1
2023-01-08 08:12,Sunday,8,1
2023-01-08 09:23,Sunday,9,1
2023-01-08 09:31,Sunday,9,1
2023-01-08 10:37,Sunday,10,1
2023-01-08 10:49,Sunday,10,1
2023-01-08 11:14,Sunday,11,1
2023-01-08 12:07,Sunday,12,1
2023-01-08 12:12,Sunday,12,1
2023-01-08 12:59,Sunday,12,1
2023-01-08 13:07,Sunday,13,1
2023-01-08 13:35,Sunday,13,1
2023-01-08 13:36,Sunday,13,1
2023-01-08 14:37,Sunday,14,1
2023-01-08 14:45,Sunday,14,1
2023-01-08 14:51,Sunday,14,1
2023-01-08 14:52,Sunday,14,1
2023-01-08 16:08,Sunday,16,1
2023-01-08 16:12,Sunday,16,1
2023-01-08 19:10,Sunday,19,1
2023-01-08 19:11,Sunday,19,1
2023-01-08 20:04,Sunday,20,1
