Day,mean,min,max,std
Friday,1.0,1,1,0.0
Saturday,1.0,1,1,0.0
Sunday,1.0,1,1,0.0
Thursday,1.0,1,1,0.0
Tuesday,1.0,1,1,0.0
Wednesday,1.0,1,1,0.0
