Day,mean,min,max,std
Friday,5.0,4,6,0.59
Monday,1.75,1,3,0.9
Saturday,6.5,5,8,0.98
Sunday,7.5,6,9,0.72
Thursday,3.88,2,6,1.03
Tuesday,1.62,1,2,0.49
Wednesday,2.92,1,4,0.65
