Time,Day,Hour,K_Value
2023-01-04 09:10,Wednesday,9,1
2023-01-04 09:40,Wednesday,9,1
2023-01-04 10:10,Wednesday,10,1
2023-01-04 10:40,Wednesday,10,1
2023-01-04 11:10,Wednesday,11,1
2023-01-04 11:40,Wednesday,11,1
2023-01-04 12:10,Wednesday,12,1
2023-01-04 12:40,Wednesday,12,1
2023-01-04 13:10,Wednesday,13,1
2023-01-04 13:40,Wednesday,13,1
2023-01-04 14:10,Wednesday,14,1
2023-01-04 14:40,Wednesday,14,1
2023-01-04 15:10,Wednesday,15,1
2023-01-04 15:40,Wednesday,15,1
2023-01-04 16:10,Wednesday,16,1
2023-01-04 16:40,Wednesday,16,1
2023-01-04 17:10,Wednesday,17,1
2023-01-04 17:40,Wednesday,17,1
2023-01-04 18:10,Wednesday,18,1
2023-01-04 18:40,Wednesday,18,1
2023-01-04 19:10,Wednesday,19,1
2023-01-04 19:40,Wednesday,19,1
2023-01-04 20:10,Wednesday,20,1
2023-01-04 20:40,Wednesday,20,1
2023-01-04 21:10,Wednesday,21,1
2023-01-04 21:40,Wednesday,21,1
2023-01-04 22:10,Wednesday,22,1
2023-01-04 22:40,Wednesday,22,1
2023-01-04 23:10,Wednesday,23,1
2023-01-04 23:40,Wednesday,23,1
2023-01-05 00:10,Thursday,0,1
2023-01-05 00:40,Thursday,0,1
2023-01-05 01:10,Thursday,1,1
2023-01-05 01:40,Thursday,1,1
2023-01-05 02:10,Thursday,2,1
2023-01-05 02:40,Thursday,2,1
2023-01-05 03:10,Thursday,3,1
2023-01-05 03:40,Thursday,3,1
2023-01-05 04:10,Thursday,4,1
2023-01-05 04:40,Thursday,4,1
2023-01-05 05:10,Thursday,5,1
2023-01-05 05:40,Thursday,5,1
2023-01-05 06:10,Thursday,6,1
2023-01-05 06:40,Thursday,6,1
2023-01-05 07:10,Thursday,7,1
2023-01-05 07:40,Thursday,7,1
2023-01-05 08:10,Thursday,8,1
2023-01-05 08:40,Thursday,8,1
2023-01-05 09:10,Thursday,9,1
2023-01-05 09:40,Thursday,9,1
2023-01-05 10:10,Thursday,10,1
2023-01-05 10:40,Thursday,10,1
2023-01-05 11:10,Thursday,11,1
2023-01-05 11:40,Thursday,11,1
2023-01-05 12:10,Thursday,12,1
2023-01-05 12:40,Thursday,12,1
2023-01-05 13:10,Thursday,13,1
2023-01-05 13:40,Thursday,13,1
2023-01-05 14:10,Thursday,14,1
2023-01-05 14:40,Thursday,14,1
2023-01-05 15:10,Thursday,15,1
2023-01-05 15:40,Thursday,15,1
2023-01-05 16:10,Thursday,16,1
2023-01-05 16:40,Thursday,16,1
2023-01-05 17:10,Thursday,17,1
2023-01-05 17:40,Thursday,17,1
2023-01-05 18:10,Thursday,18,1
2023-01-05 18:40,Thursday,18,1
2023-01-05 19:10,Thursday,19,1
2023-01-05 19:40,Thursday,19,1
2023-01-05 20:10,Thursday,20,1
2023-01-05 20:40,Thursday,20,1
2023-01-05 21:10,Thursday,21,1
2023-01-05 21:40,Thursday,21,1
2023-01-05 22:10,Thursday,22,1
2023-01-05 22:40,Thursday,22,1
2023-01-05 23:10,Thursday,23,1
2023-01-05 23:40,Thursday,23,1
2023-01-06 00:10,Friday,0,1
2023-01-06 00:40,Friday,0,1
2023-01-06 01:10,Friday,1,1
2023-01-06 01:40,Friday,1,1
2023-01-06 02:10,Friday,2,1
2023-01-06 02:40,Friday,2,1
2023-01-06 03:10,Friday,3,1
2023-01-06 03:40,Friday,3,1
2023-01-06 04:10,Friday,4,1
2023-01-06 04:40,Friday,4,1
2023-01-06 05:10,Friday,5,1
2023-01-06 05:40,Friday,5,1
2023-01-06 06:10,Friday,6,1
2023-01-06 06:40,Friday,6,1
2023-01-06 07:10,Friday,7,1
2023-01-06 07:40,Friday,7,1
2023-01-06 08:10,Friday,8,1
2023-01-06 08:40,Friday,8,1
2023-01-06 09:10,Friday,9,1
2023-01-06 09:40,Friday,9,1
2023-01-06 10:10,Friday,10,1
2023-01-06 10:40,Friday,10,1
2023-01-06 11:10,Friday,11,1
2023-01-06 11:40,Friday,11,1
2023-01-06 12:10,Friday,12,1
2023-01-06 12:40,Friday,12,1
2023-01-06 13:10,Friday,13,1
2023-01-06 13:40,Friday,13,1
2023-01-06 14:10,Friday,14,1
2023-01-06 14:40,Friday,14,1
2023-01-06 15:10,Friday,15,1
2023-01-06 15:40,Friday,15,1
2023-01-06 16:10,Friday,16,1
2023-01-06 16:40,Friday,16,1
2023-01-06 17:10,Friday,17,1
2023-01-06 17:40,Friday,17,1
2023-01-06 18:10,Friday,18,1
2023-01-06 18:40,Friday,18,1
2023-01-06 19:10,Friday,19,1
2023-01-06 19:40,Friday,19,1
2023-01-06 20:10,Friday,20,1
2023-01-06 20:40,Friday,20,1
2023-01-06 21:10,Friday,21,1
2023-01-06 21:40,Friday,21,1
2023-01-06 22:10,Friday,22,1
2023-01-06 22:40,Friday,22,1
2023-01-06 23:10,Friday,23,1
2023-01-06 23:40,Friday,23,1
2023-01-07 00:10,Saturday,0,1
2023-01-07 00:40,Saturday,0,1
2023-01-07 01:10,Saturday,1,1
2023-01-07 01:40,Saturday,1,1
2023-01-07 02:10,Saturday,2,1
2023-01-07 02:40,Saturday,2,1
2023-01-07 03:10,Saturday,3,1
2023-01-07 03:40,Saturday,3,1
2023-01-07 04:10,Saturday,4,1
2023-01-07 04:40,Saturday,4,1
2023-01-07 05:10,Saturday,5,1
2023-01-07 05:40,Saturday,5,1
2023-01-07 06:10,Saturday,6,1
2023-01-07 06:40,Saturday,6,1
2023-01-07 07:10,Saturday,7,1
2023-01-07 07:40,Saturday,7,1
2023-01-07 08:10,Saturday,8,1
2023-01-07 08:40,Saturday,8,1
2023-01-07 09:10,Saturday,9,1
2023-01-07 09:40,Saturday,9,1
2023-01-07 10:10,Saturday,10,1
2023-01-07 10:40,Saturday,10,1
2023-01-07 11:10,Saturday,11,1
2023-01-07 11:40,Saturday,11,1
2023-01-07 12:10,Saturday,12,1
2023-01-07 12:40,Saturday,12,1
2023-01-07 13:10,Saturday,13,1
2023-01-07 13:40,Saturday,13,1
2023-01-07 14:10,Saturday,14,1
2023-01-07 14:40,Saturday,14,1
2023-01-07 15:10,Saturday,15,1
2023-01-07 15:40,Saturday,15,1
2023-01-07 16:10,Saturday,16,1
2023-01-07 16:40,Saturday,16,1
2023-01-07 17:10,Saturday,17,1
2023-01-07 17:40,Saturday,17,1
2023-01-07 18:10,Saturday,18,1
2023-01-07 18:40,Saturday,18,1
2023-01-07 19:10,Saturday,19,1
2023-01-07 19:40,Saturday,19,1
2023-01-07 20:10,Saturday,20,1
2023-01-07 20:40,Saturday,20,1
2023-01-07 21:10,Saturday,21,1
2023-01-07 21:40,Saturday,21,1
2023-01-07 22:10,Saturday,22,1
2023-01-07 22:40,Saturday,22,1
2023-01-07 23:10,Saturday,23,1
2023-01-07 23:40,Saturday,23,1
2023-01-08 00:10,Sunday,0,1
2023-01-08 00:40,Sunday,0,1
2023-01-08 01:10,Sunday,1,1
2023-01-08 01:40,Sunday,1,1
2023-01-08 02:10,Sunday,2,1
2023-01-08 02:40,Sunday,2,1
2023-01-08 03:10,Sunday,3,1
2023-01-08 03:40,Sunday,3,1
2023-01-08 04:10,Sunday,4,1
2023-01-08 04:40,Sunday,4,1
2023-01-08 05:10,Sunday,5,1
2023-01-08 05:40,Sunday,5,1
2023-01-08 06:10,Sunday,6,1
2023-01-08 06:40,Sunday,6,1
2023-01-08 07:10,Sunday,7,1
2023-01-08 07:40,Sunday,7,1
2023-01-08 08:10,Sunday,8,1
2023-01-08 08:40,Sunday,8,1
2023-01-08 09:10,Sunday,9,1
2023-01-08 09:40,Sunday,9,1
2023-01-08 10:10,Sunday,10,1
2023-01-08 10:40,Sunday,10,1
2023-01-08 11:10,Sunday,11,1
2023-01-08 11:40,Sunday,11,1
2023-01-08 12:10,Sunday,12,1
2023-01-08 12:40,Sunday,12,1
2023-01-08 13:10,Sunday,13,1
2023-01-08 13:40,Sunday,13,1
2023-01-08 14:10,Sunday,14,1
2023-01-08 14:40,Sunday,14,1
2023-01-08 15:10,Sunday,15,1
