Time,Day,Hour,K_Value
2023-01-02 00:00,Monday,0,1
2023-01-02 00:30,Monday,0,1
2023-01-02 01:00,Monday,1,1
2023-01-02 01:30,Monday,1,1
2023-01-02 02:00,Monday,2,1
2023-01-02 02:30,Monday,2,1
2023-01-02 03:00,Monday,3,1
2023-01-02 03:30,Monday,3,1
2023-01-02 04:00,Monday,4,1
2023-01-02 04:30,Monday,4,1
2023-01-02 05:00,Monday,5,1
2023-01-02 05:30,Monday,5,1
2023-01-02 06:00,Monday,6,1
2023-01-02 06:30,Monday,6,1
2023-01-02 07:00,Monday,7,1
2023-01-02 07:30,Monday,7,1
2023-01-02 08:00,Monday,8,1
2023-01-02 08:30,Monday,8,1
2023-01-02 09:00,Monday,9,1
2023-01-02 09:30,Monday,9,1
2023-01-02 10:00,Monday,10,1
2023-01-02 10:30,Monday,10,1
2023-01-02 11:00,Monday,11,1
2023-01-02 11:30,Monday,11,1
2023-01-02 12:00,Monday,12,1
2023-01-02 12:30,Monday,12,1
2023-01-02 13:00,Monday,13,1
2023-01-02 13:30,Monday,13,1
2023-01-02 14:00,Monday,14,1
2023-01-02 14:30,Monday,14,1
2023-01-02 15:00,Monday,15,1
2023-01-02 15:30,Monday,15,1
2023-01-02 16:00,Monday,16,1
2023-01-02 16:30,Monday,16,1
2023-01-02 17:00,Monday,17,1
2023-01-02 17:30,Monday,17,1
2023-01-02 18:00,Monday,18,1
2023-01-02 18:30,Monday,18,1
2023-01-02 19:00,Monday,19,1
2023-01-02 19:30,Monday,19,1
2023-01-02 20:00,Monday,20,1
2023-01-02 20:30,Monday,20,1
2023-01-02 21:00,Monday,21,1
2023-01-02 21:30,Monday,21,1
2023-01-02 22:00,Monday,22,1
2023-01-02 22:30,Monday,22,1
2023-01-02 23:00,Monday,23,1
2023-01-02 23:30,Monday,23,1
2023-01-03 00:00,Tuesday,0,1
2023-01-03 00:30,Tuesday,0,1
2023-01-03 01:00,Tuesday,1,1
2023-01-03 01:30,Tuesday,1,1
2023-01-03 02:00,Tuesday,2,1
2023-01-03 02:30,Tuesday,2,1
2023-01-03 03:00,Tuesday,3,1
2023-01-03 03:30,Tuesday,3,1
2023-01-03 04:00,Tuesday,4,1
2023-01-03 04:30,Tuesday,4,1
2023-01-03 05:00,Tuesday,5,1
2023-01-03 05:30,Tuesday,5,1
2023-01-03 06:00,Tuesday,6,1
2023-01-03 06:30,Tuesday,6,1
2023-01-03 07:00,Tuesday,7,1
2023-01-03 07:30,Tuesday,7,1
2023-01-03 08:00,Tuesday,8,1
2023-01-03 08:30,Tuesday,8,1
2023-01-03 09:00,Tuesday,9,1
2023-01-03 09:30,Tuesday,9,1
2023-01-03 10:00,Tuesday,10,1
2023-01-03 10:30,Tuesday,10,1
2023-01-03 11:00,Tuesday,11,1
2023-01-03 11:30,Tuesday,11,1
2023-01-03 12:00,Tuesday,12,1
2023-01-03 12:30,Tuesday,12,1
2023-01-03 13:00,Tuesday,13,1
2023-01-03 13:30,Tuesday,13,1
2023-01-03 14:00,Tuesday,14,1
2023-01-03 14:30,Tuesday,14,1
2023-01-03 15:00,Tuesday,15,1
2023-01-03 15:30,Tuesday,15,1
2023-01-03 16:00,Tuesday,16,1
2023-01-03 16:30,Tuesday,16,1
2023-01-03 17:00,Tuesday,17,1
2023-01-03 17:30,Tuesday,17,1
2023-01-03 18:00,Tuesday,18,1
2023-01-03 18:30,Tuesday,18,1
2023-01-03 19:00,Tuesday,19,1
2023-01-03 19:30,Tuesday,19,1
2023-01-03 20:00,Tuesday,20,1
2023-01-03 20:30,Tuesday,20,1
2023-01-03 21:00,Tuesday,21,1
2023-01-03 21:30,Tuesday,21,1
2023-01-03 22:00,Tuesday,22,1
2023-01-03 22:30,Tuesday,22,1
2023-01-03 23:00,Tuesday,23,1
2023-01-03 23:30,Tuesday,23,1
2023-01-04 00:00,Wednesday,0,1
2023-01-04 00:30,Wednesday,0,1
2023-01-04 01:00,Wednesday,1,1
2023-01-04 01:30,Wednesday,1,1
2023-01-04 02:00,Wednesday,2,1
2023-01-04 02:30,Wednesday,2,1
2023-01-04 03:00,Wednesday,3,1
2023-01-04 03:30,Wednesday,3,1
2023-01-04 04:00,Wednesday,4,1
2023-01-04 04:30,Wednesday,4,1
2023-01-04 05:00,Wednesday,5,1
2023-01-04 05:30,Wednesday,5,1
2023-01-04 06:00,Wednesday,6,1
2023-01-04 06:30,Wednesday,6,1
2023-01-04 07:00,Wednesday,7,1
2023-01-04 07:30,Wednesday,7,1
2023-01-04 08:00,Wednesday,8,1
2023-01-04 08:30,Wednesday,8,1
2023-01-04 09:00,Wednesday,9,1
2023-01-04 09:30,Wednesday,9,1
2023-01-04 10:00,Wednesday,10,1
2023-01-04 10:30,Wednesday,10,1
2023-01-04 11:00,Wednesday,11,1
2023-01-04 11:30,Wednesday,11,1
2023-01-04 12:00,Wednesday,12,1
2023-01-04 12:30,Wednesday,12,1
2023-01-04 13:00,Wednesday,13,1
2023-01-04 13:30,Wednesday,13,1
2023-01-04 14:00,Wednesday,14,1
2023-01-04 14:30,Wednesday,14,1
2023-01-04 15:00,Wednesday,15,1
2023-01-04 15:30,Wednesday,15,1
2023-01-04 16:00,Wednesday,16,1
2023-01-04 16:30,Wednesday,16,1
2023-01-04 17:00,Wednesday,17,1
2023-01-04 17:30,Wednesday,17,1
2023-01-04 18:00,Wednesday,18,1
2023-01-04 18:30,Wednesday,18,1
2023-01-04 19:00,Wednesday,19,1
2023-01-04 19:30,Wednesday,19,1
2023-01-04 20:00,Wednesday,20,1
2023-01-04 20:30,Wednesday,20,1
2023-01-04 21:00,Wednesday,21,1
2023-01-04 21:30,Wednesday,21,1
2023-01-04 22:00,Wednesday,22,1
2023-01-04 22:30,Wednesday,22,1
2023-01-04 23:00,Wednesday,23,1
2023-01-04 23:30,Wednesday,23,1
2023-01-05 00:00,Thursday,0,1
2023-01-05 00:30,Thursday,0,1
2023-01-05 01:00,Thursday,1,1
2023-01-05 01:30,Thursday,1,1
2023-01-05 02:00,Thursday,2,1
2023-01-05 02:30,Thursday,2,1
2023-01-05 03:00,Thursday,3,1
2023-01-05 03:30,Thursday,3,1
2023-01-05 04:00,Thursday,4,1
2023-01-05 04:30,Thursday,4,1
2023-01-05 05:00,Thursday,5,1
2023-01-05 05:30,Thursday,5,1
2023-01-05 06:00,Thursday,6,1
2023-01-05 06:30,Thursday,6,1
2023-01-05 07:00,Thursday,7,1
2023-01-05 07:30,Thursday,7,1
2023-01-05 08:00,Thursday,8,1
2023-01-05 08:30,Thursday,8,1
2023-01-05 09:00,Thursday,9,1
2023-01-05 09:30,Thursday,9,1
2023-01-05 10:00,Thursday,10,1
2023-01-05 10:30,Thursday,10,1
2023-01-05 11:00,Thursday,11,1
2023-01-05 11:30,Thursday,11,1
2023-01-05 12:00,Thursday,12,1
2023-01-05 12:30,Thursday,12,1
2023-01-05 13:00,Thursday,13,1
2023-01-05 13:30,Thursday,13,1
2023-01-05 14:00,Thursday,14,1
2023-01-05 14:30,Thursday,14,1
2023-01-05 15:00,Thursday,15,1
2023-01-05 15:30,Thursday,15,1
2023-01-05 16:00,Thursday,16,1
2023-01-05 16:30,Thursday,16,1
2023-01-05 17:00,Thursday,17,1
2023-01-05 17:30,Thursday,17,1
2023-01-05 18:00,Thursday,18,1
2023-01-05 18:30,Thursday,18,1
2023-01-05 19:00,Thursday,19,1
2023-01-05 19:30,Thursday,19,1
2023-01-05 20:00,Thursday,20,1
2023-01-05 20:30,Thursday,20,1
2023-01-05 21:00,Thursday,21,1
2023-01-05 21:30,Thursday,21,1
2023-01-05 22:00,Thursday,22,1
2023-01-05 22:30,Thursday,22,1
2023-01-05 23:00,Thursday,23,1
2023-01-05 23:30,Thursday,23,1
2023-01-06 00:00,Friday,0,1
2023-01-06 00:30,Friday,0,1
2023-01-06 01:00,Friday,1,1
2023-01-06 01:30,Friday,1,1
2023-01-06 02:00,Friday,2,1
2023-01-06 02:30,Friday,2,1
2023-01-06 03:00,Friday,3,1
2023-01-06 03:30,Friday,3,1
2023-01-06 04:00,Friday,4,1
2023-01-06 04:30,Friday,4,1
2023-01-06 05:00,Friday,5,1
2023-01-06 05:30,Friday,5,1
2023-01-06 06:00,Friday,6,1
2023-01-06 06:30,Friday,6,1
2023-01-06 07:00,Friday,7,1
2023-01-06 07:30,Friday,7,1
2023-01-06 08:00,Friday,8,1
2023-01-06 08:30,Friday,8,1
2023-01-06 09:00,Friday,9,1
2023-01-06 09:30,Friday,9,1
2023-01-06 10:00,Friday,10,1
2023-01-06 10:30,Friday,10,1
2023-01-06 11:00,Friday,11,1
2023-01-06 11:30,Friday,11,1
2023-01-06 12:00,Friday,12,1
2023-01-06 12:30,Friday,12,1
2023-01-06 13:00,Friday,13,1
2023-01-06 13:30,Friday,13,1
2023-01-06 14:00,Friday,14,1
2023-01-06 14:30,Friday,14,1
2023-01-06 15:00,Friday,15,1
2023-01-06 15:30,Friday,15,1
2023-01-06 16:00,Friday,16,1
2023-01-06 16:30,Friday,16,1
2023-01-06 17:00,Friday,17,1
2023-01-06 17:30,Friday,17,1
2023-01-06 18:00,Friday,18,1
2023-01-06 18:30,Friday,18,1
2023-01-06 19:00,Friday,19,1
2023-01-06 19:30,Friday,19,1
2023-01-06 20:00,Friday,20,1
2023-01-06 20:30,Friday,20,1
2023-01-06 21:00,Friday,21,1
2023-01-06 21:30,Friday,21,1
2023-01-06 22:00,Friday,22,1
2023-01-06 22:30,Friday,22,1
2023-01-06 23:00,Friday,23,1
2023-01-06 23:30,Friday,23,1
2023-01-07 00:00,Saturday,0,1
2023-01-07 00:30,Saturday,0,1
2023-01-07 01:00,Saturday,1,1
2023-01-07 01:30,Saturday,1,1
2023-01-07 02:00,Saturday,2,1
2023-01-07 02:30,Saturday,2,1
2023-01-07 03:00,Saturday,3,1
2023-01-07 03:30,Saturday,3,1
2023-01-07 04:00,Saturday,4,1
2023-01-07 04:30,Saturday,4,1
2023-01-07 05:00,Saturday,5,1
2023-01-07 05:30,Saturday,5,1
2023-01-07 06:00,Saturday,6,1
2023-01-07 06:30,Saturday,6,1
2023-01-07 07:00,Saturday,7,1
